순위,곡명,가수,앨범
1,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
2,신호등,이무진,신호등
3,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
4,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
5,Weekend,태연 (TAEYEON),Weekend
6,Permission to Dance,방탄소년단,Butter / Permission to Dance
7,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
8,Next Level,aespa,Next Level
9,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
10,Butter,방탄소년단,Butter
11,Bad Habits,Ed Sheeran,Bad Habits
12,Stay,The Kid LAROI & Justin Bieber,Stay
13,DUMB DUMB,전소미,DUMB DUMB
14,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
15,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
16,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
17,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,고백,10CM,두 번째 '고백'
20,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
21,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
22,하루만 더,빅마마 (Big Mama),하루만 더
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
25,라일락,아이유 (IU),IU 5th Album 'LILAC'
26,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
27,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
28,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
29,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
30,Alcohol-Free,TWICE (트와이스),Taste of Love
31,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
32,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
33,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
34,나를 아는 사람,MSG워너비 (정상동기),MSG워너비 1집
35,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
36,상상더하기,라붐 (LABOUM),Fresh Adventure
37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
38,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
39,HERO,임영웅,HERO
40,Timeless,SG워너비,Wanna Be＋
41,추적이는 여름 비가 되어,장범준,장범준 싱글
42,ASAP,STAYC (스테이씨),STAYDOM
43,At My Worst,Pink Sweat$,The Prelude
44,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
45,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
46,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
47,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
48,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
49,Life Goes On,방탄소년단,BE
50,그대라는 사치,임영웅,사랑의 콜센타 PART62
1,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
2,신호등,이무진,신호등
3,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
4,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
5,Weekend,태연 (TAEYEON),Weekend
6,Permission to Dance,방탄소년단,Butter / Permission to Dance
7,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
8,Next Level,aespa,Next Level
9,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
10,Butter,방탄소년단,Butter
11,Bad Habits,Ed Sheeran,Bad Habits
12,Stay,The Kid LAROI & Justin Bieber,Stay
13,DUMB DUMB,전소미,DUMB DUMB
14,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
15,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
16,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
17,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,고백,10CM,두 번째 '고백'
20,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
21,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
22,하루만 더,빅마마 (Big Mama),하루만 더
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
25,라일락,아이유 (IU),IU 5th Album 'LILAC'
26,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
27,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
28,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
29,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
30,Alcohol-Free,TWICE (트와이스),Taste of Love
31,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
32,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
33,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
34,나를 아는 사람,MSG워너비 (정상동기),MSG워너비 1집
35,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
36,상상더하기,라붐 (LABOUM),Fresh Adventure
37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
38,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
39,HERO,임영웅,HERO
40,Timeless,SG워너비,Wanna Be＋
41,추적이는 여름 비가 되어,장범준,장범준 싱글
42,ASAP,STAYC (스테이씨),STAYDOM
43,At My Worst,Pink Sweat$,The Prelude
44,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
45,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
46,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
47,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
48,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
49,Life Goes On,방탄소년단,BE
50,그대라는 사치,임영웅,사랑의 콜센타 PART62
1,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
2,신호등,이무진,신호등
3,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
4,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
5,Weekend,태연 (TAEYEON),Weekend
6,Permission to Dance,방탄소년단,Butter / Permission to Dance
7,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
8,Next Level,aespa,Next Level
9,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
10,Butter,방탄소년단,Butter
11,Bad Habits,Ed Sheeran,Bad Habits
12,Stay,The Kid LAROI & Justin Bieber,Stay
13,DUMB DUMB,전소미,DUMB DUMB
14,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
15,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
16,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
17,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,고백,10CM,두 번째 '고백'
20,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
21,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
22,하루만 더,빅마마 (Big Mama),하루만 더
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
25,라일락,아이유 (IU),IU 5th Album 'LILAC'
26,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
27,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
28,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
