content,date,like,place,tags
"제주에서 맞는 새해 첫날, 해는 못봤지만 눈은 원없이 보고 왔다!!! 눈되게 좋아하는 것 같아 보이는데, 사실 눈은 하늘에서 내리는 쓰레기라고 생각하는 1인??..?? @jinifoto#제주도",2019-01-01,431,1100고지,['#제주도']
저번에 못간 #동백군락지 ????보는것보다 사진이 더 이뻐요! (칭찬인지 욕인지.. ??).#제주위미동백군락지 #제주 #위미 #동백#제주핫플 #제주여행#2019 #1월1일 #짜증대마녀 #제주도여행 #여행룩#jeju #camellia #제주는추워요 ㅜㅜ 너무 추워요 ??,2019-01-01,"1,521",위미동백나무군락,"['#동백군락지', '#제주위미동백군락지', '#제주', '#위미', '#동백', '#제주핫플', '#제주여행', '#2019', '#1월1일', '#짜증대마녀', '#제주도여행', '#여행룩', '#jeju', '#camellia', '#제주는추워요']"
저번에 못간 #동백군락지 ????보는것보다 사진이 더 이뻐요! (칭찬인지 욕인지.. ??).#제주위미동백군락지 #제주 #위미 #동백#제주핫플 #제주여행#2019 #1월1일 #짜증대마녀 #제주도여행 #여행룩#jeju #camellia #제주는추워요 ㅜㅜ 너무 추워요 ??,2019-01-01,"1,521",위미동백나무군락,"['#동백군락지', '#제주위미동백군락지', '#제주', '#위미', '#동백', '#제주핫플', '#제주여행', '#2019', '#1월1일', '#짜증대마녀', '#제주도여행', '#여행룩', '#jeju', '#camellia', '#제주는추워요']"
.엘사는 아니지만 눈의 왕국을 다녀왔도다~~^^1100고지 주차장 잇바이데쓰 ㅠㅠ그래도 눈의 왕국은 이뻐용♡♡ 실시간 제주랍니다^^.#제주#숲길#제주도#제주인생사진 #제주여행#제주오름 #제주가볼만한곳 #제주카페#제주도여행 #감성글 #감성스냅 #감성사진#1100고지#눈의왕국#제주눈 #제주책#제주사진관#책스타그램#오름투어 #서적 #국내여행#여행에미치다 #여행스타그램 #여행#jeju #jejuisland #travel#trip#travelgra,2018-12-31,742,,"['#제주', '#숲길', '#제주도', '#제주인생사진', '#제주여행', '#제주오름', '#제주가볼만한곳', '#제주카페', '#제주도여행', '#감성글', '#감성스냅', '#감성사진', '#1100고지', '#눈의왕국', '#제주눈', '#제주책', '#제주사진관', '#책스타그램', '#오름투어', '#서적', '#국내여행', '#여행에미치다', '#여행스타그램', '#여행', '#jeju', '#jejuisland', '#travel', '#trip', '#travelgra']"
"#제주 #친봉산장 #adieu #2018 12월 31일,우리의 2018 마지막 데이트??_연말엔 친봉산장을 더더욱 지나칠 수 없지요겨울이라 그런지 분위기가 더 산장스러워졌네요덕분에 늦은 크리스마스도 맛 보고요??_잼있고 맛좋은 가가멜스튜도 먹음스 알콩달콩 마무리 했답니다??_#럽스타그램 #부부스타그램 #신혼부부 #일상 #일상스타그램 #daily #데이트 #연말 #제주 #맛집 #카페 #먹스타그램 #맛스타그램 #jmt #제주도 #제주여행 #여행스타그램 #일상을여행처럼 #카페투어 #추억스타그램 #행복 #happyday #happynewyear",2019-01-01,108,친봉산장,"['#제주', '#친봉산장', '#adieu', '#2018', '#럽스타그램', '#부부스타그램', '#신혼부부', '#일상', '#일상스타그램', '#daily', '#데이트', '#연말', '#제주', '#맛집', '#카페', '#먹스타그램', '#맛스타그램', '#jmt', '#제주도', '#제주여행', '#여행스타그램', '#일상을여행처럼', '#카페투어', '#추억스타그램', '#행복', '#happyday', '#happynewyear']"
_와... 제주 겨울 바다 예술 ??????,2019-01-01,718,Jeju Island 제주특별자치도 ?州道,[]
_울 가족 송구영신예배로 새해를 맞이하고아이들은 이모랑 영화보는 동안 혼자 여유롭게 :)happy new year??,2019-01-01,627,Seogwipo,[]
바울씨 앞으로도 함께 쭈욱 행복하자??..,2019-01-01,482,,[]
"새해 첫날.정오가 다 되어 일어나서, 청소하고 떡국으로 점심을 먹고 느지막이 카페에 나와 2019 계획하기??",2019-01-01,539,Jeju-do,[]
.혜찬이들 이렇게 인사드려요.???♂????♀?2018년 한해도 너무나 큰사랑 주셔서 감사했어요! 따뜻했던 수많은 분들을 떠올리며 행복하게 오늘을 마무리합니다.내년에도 저희가 받은 마음들을 고스란히 전해드릴수있는 수카사가 될께요.h a p p y  n e w  y e a r ! ♥?.........#수카사#새해복많이받으세요photo by @kn.freelancer,2018-12-31,219,수카사,"['#수카사', '#새해복많이받으세요photo']"
2019.01.01?생후1115일&721일오빠 응원해주는 동생??#세상귀욤저 멀리서?? 떠연아 오빠봐봐! 엄마 요기봐요!.....#육아소통 #황남매네 #황남매_일상스타그램 #아들딸맘 #엄마표놀이 #책육아 #책육아소통#소확행 #세젤예 #세젤귀 #귀요미 #남매샷 #제주여행 #가족여행 #겨울방학,2019-01-01,7,,"['#세상귀욤저', '#육아소통', '#황남매네', '#황남매_일상스타그램', '#아들딸맘', '#엄마표놀이', '#책육아', '#책육아소통', '#소확행', '#세젤예', '#세젤귀', '#귀요미', '#남매샷', '#제주여행', '#가족여행', '#겨울방학']"
926??#제주도#제주여행#jeju#여행#일상#동백위미군락지#동백꽃#커플#커플사진#럽스타그램#love#fff#f4f#??,2019-01-01,8,위미2리 동백군락지,"['#제주도', '#제주여행', '#jeju', '#여행', '#일상', '#동백위미군락지', '#동백꽃', '#커플', '#커플사진', '#럽스타그램', '#love', '#fff', '#f4f', '#??']"
2018년 또 하나의 버킷리스트 완성 ??.큰아들과 이모와 사촌형아들과 제주도 보름살기 프로젝트 성공!!.울 막둥이 서정이 한테는 미안 했지만... 이런 기회가 쉽게 올수 있는 시간이 아니기에... 도전했었징~ .이번 여행으로 도현이에게 많은 체험과 경험을 해줄수 있어서 너무나 좋았던 제주도~.우리 나중에 또 만나자~~ ??..#제주여행 #제주도보름살기 #제주도 #아들바보 #큰아들 #6살 #6살아들 #엄마와아들 #행복했던시간 #소확행 #잊지못할 #추억,2019-01-01,4,,"['#제주여행', '#제주도보름살기', '#제주도', '#아들바보', '#큰아들', '#6살', '#6살아들', '#엄마와아들', '#행복했던시간', '#소확행', '#잊지못할', '#추억']"
happy new year!나는 20년만에서방은 5년만에애들은 생전처음~#제주여행#자매국수#귤하르방#돈사돈본점,2019-01-01,1,,"['#제주여행', '#자매국수', '#귤하르방', '#돈사돈본점']"
