카테고리,채널명,구독자수,조회수,비디오수
음악/댄스/가수,BLACKPINK,64000000,19003810000,371
음악/댄스/가수,HYBE LABELS,60300000,18713050000,654
음악/댄스/가수,BANGTANTV,56400000,12194960000,1579
음악/댄스/가수,SMTOWN,28500000,21870920000,3729
키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
음악/댄스/가수,1MILLION Dance Studio,24200000,6694900000,2897
음악/댄스/가수,1theK (원더케이),23200000,20599350000,14983
음악/댄스/가수,JYP Entertainment,21600000,13725340000,1327
미분류,Coldplay,19300000,12771640000,279
음악/댄스/가수,Mnet K-POP,18400000,12947130000,25395
음악/댄스/가수,JFlaMusic,17200000,3420990000,279
TV/방송,KBS WORLD TV,16600000,12358210000,52362
음악/댄스/가수,officialpsy,15000000,8624700000,90
음식/요리/레시피,Jane ASMR 제인,14200000,4912630000,1189
음악/댄스/가수,BIGBANG,13800000,6678340000,773
음악/댄스/가수,TWICE,11500000,2203720000,592
키즈/어린이,Nao FunFun,10800000,3890000,34
음악/댄스/가수,Stone Music Entertainment,9980000,7861800000,7915
키즈/어린이,DuDuPopTOY,9840000,4371040000,1743
음식/요리/레시피,Hongyu ASMR 홍유,9760000,2692860000,385
키즈/어린이,핑크퐁 (인기 동요・동화),9440000,5708190000,2225
TV/방송,MBCkpop,9420000,7361290000,40659
키즈/어린이,서은이야기[SeoeunStory],9370000,3997100000,1001
키즈/어린이,Larva TUBA,9320000,4049880000,2862
키즈/어린이,Toymong tv 토이몽TV,9270000,3823200000,1832
미분류,The Late Show with Stephen Colbert,8600000,7826150000,8348
뉴스/정치/사회,MBCentertainment,8380000,14317700000,85420
음악/댄스/가수,Mnet Official,8330000,9056020000,18118
음악/댄스/가수,iKON,8310000,2091530000,468
음악/댄스/가수,EXO,8280000,464730000,201
미분류,WIRED,8110000,2607720000,3220
미분류,Nintendo,8020000,2726300000,5141
미분류,BBC Radio 1,7590000,3192060000,4414
TV/방송,M2,7490000,5527320000,14278
키즈/어린이,MariAndKids,7480000,2288600000,808
음식/요리/레시피,[햄지]Hamzy,7440000,2145010000,331
음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,7350000,443910000,741
키즈/어린이,SonicToy소닉토이,7170000,2934780000,164
음악/댄스/가수,Stray Kids,6950000,1010790000,464
음식/요리/레시피,Travel Thirsty,6880000,2897760000,676
뉴스/정치/사회,JTBC Entertainment,6840000,9715500000,63970
해외,Serie A,6830000,2387360000,20486
음악/댄스/가수,SEVENTEEN,6800000,2115840000,870
음악/댄스/가수,Sungha Jung,6730000,1871010000,1263
음악/댄스/가수,이지금 [IU Official],6630000,926330000,125
음식/요리/레시피,문복희 Eat with Boki,6470000,1442870000,422
음악/댄스/가수,ALL THE K-POP,6380000,3885050000,19505
음식/요리/레시피,쏘영 Ssoyoung,6360000,933110000,566
음악/댄스/가수,YG ENTERTAINMENT,6350000,1630960000,389
TV/방송,KBS Kpop,6260000,4710370000,29013
음악/댄스/가수,GOT7,6040000,754270000,579
음악/댄스/가수,MAMAMOO,6020000,1614050000,600
패션/미용,PONY Syndrome,5860000,354640000,188
TV/방송,스브스케이팝 / SBS KPOP,5820000,3853630000,25785
회사/오피셜,Samsung,5770000,999910000,1551
TV/방송,tvN DRAMA,5770000,5494060000,34868
TV/방송,SBS Entertainment,5720000,6664750000,216725
키즈/어린이,스위트티비 SweetTV,5600000,2652210000,503
음악/댄스/가수,ITZY,5540000,960950000,421
TV/방송,SBS Drama,5480000,5750870000,340878
미분류,PSG - Paris Saint-Germain,5420000,566460000,4067
키즈/어린이,[장난감티비]TOYTV,5410000,2632550000,1464
키즈/어린이,미니특공대TV,5370000,3017180000,1105
음악/댄스/가수,2NE1,5300000,1947080000,321
키즈/어린이,콩순이 • 시크릿 쥬쥬 [Kongsuni • Secret Jouju],5160000,4482530000,1236
