,title,date,content
0,테슬라 모델3 PPF 찾고 계시나요? [부산 제로맥스],2021.08.14.,오늘 만나볼 차량은 테슬라 모델3 리프레시입니다. 요즘 정말 핫한 차량이죠? 오늘 당장 계약해도 언제 출고... 해당 테슬라 모델 3 리프레시 차량처럼 기존에 시공된 생활보호 패키지의 경우는 그 차이가 심하진 않겠지만...
1,"폐배터리 관련주 테슬라 삼기, 천보, 영화테크 주가 강세 이어갈까?",2021.08.20.,"첫번째는 테슬라 관련주인 삼기 ( 122350 ) 입니다. 알루미늄 다이캐스팅 전문회사입니다. 자동차의 부품과 합금을 주 제품으로 해 19년 기준, 자동차의 엔진과 변속기 알루미늄 부품이 전체 매출 중 88%로 집중..."
2,"증시리뷰 (테슬라 ai데이, 자율주행관련주)",2021.08.16.,"테슬라 ai 데이 8/19 - 자율주행 관련주 관심 2. 8/18 FOMC 회의록 공개 3. 미국 옵션 만기일 (8/20) 4. 인플레이션... 8월말 잭슨홀 미팅, 9월 FOMC에서 일정 등 중요 언급이 있을 수도 있다는 의견 테슬라AI데이 2019년 오토노머스..."
3,테슬라 주가가 헤매고 있는 이유,2021.08.13.,테슬라 주주들의 불면증이 날로 심해지고 있다고 하네요. 이유는 올초까지만 해도 화성까지 갈 듯하던... 반해 테슬라는 약 24%로 떨어진다는 것입니다. 게다가 테슬라는 태생이 굴뚝산업입니다. 즉 공장이나...
4,럭셔리 하우스에 설치되는 테슬라의 에코 시스템,5일 전,"테슬라의 세 번째 주거 커뮤니티 프로젝트 환경 보호에 대한 관심이 높아지면서, 점차 전기차가 일상... 사진 출처: panthernational.com 이런 가운데 전기차 시대를 열었다고 평가받는 테슬라가 고급 주택사를 중심으로..."
5,"테슬라 모델Y 롱레인지 출고, 신차검수 틴팅 오렌지커스텀 feat. 견적신",3일 전,테슬라 모델Y 롱레인지 내가 이걸 살 줄이야... 사실 저는 불과 최근까지도 테슬라를 자동차 브랜드라고 인정하지 않았습니다! ㅋㅋㅋ 전기차로 넘어가는 시대적 과도기를 잘 캐치한 일론 머스크의 시장 선점과 자금력...
6,광주 테슬라 KW V3 서스펜션튜닝! 테슬라에 서스튜닝을 해야하는 이유 _모델3 승차감개선 프로젝트,2021.06.30.,"입고차종 : 테슬라 모델3 작업내용 : 승차감 개선을 위해 순정-> KW V3서스펜션 튜닝 광주 테슬라 정비 H모터스 테슬라 모델3의 옥의 티 , 승차감 단차, 품질, 주행 중 소음 다 눈 감을 수 있어도 탈때마다 엉덩이를 통해..."
7,테슬라 모델Y 시승기 및 가격,2021.08.10.,"오늘은 테슬라 모델Y 시승기 및 가격에 대해 알아보도록 하겠습니다. 테슬라 모델Y는 모델3에 이어 두 번째로 선보이는 보급형 모델입니다. 간결하고 심플한 컨셉으로 나왔으나 주행성능이 매우 뛰어나며, 넓은 실내..."
8,테슬라 모델3 한달만 렌트한 이유 (feat 느낀점 포함),4일 전,2020년 초여름 어느날 테슬라 오너인 친구를 만날 기회가 있었습니다. 우연히 방문했더니 코로나 상황임에도 흔쾌히 반갑게 맞아주었습니다. 그 친구는 몇년 전 테슬라 예약부터 시작한 초창기 멤버였습니다. 그런데...
9,테슬라 모델3 롱레인지 전기차 단종 사실 확인하러 다녀온 전시장,14시간 전,"이유는 테슬라 전시장을 가기 위해서인데요. 주차가 걱정되었으나, 막상 도착하니 널럴했습니다.ㅎㅎㅎ. 백화점을 가도 주차운이 좋은데..역시나 이날도 통했나봅니다. 더이상 구매할수가 없다! 테슬라 모델3. 도로에서..."
10,테슬라 모델Y 신차패키지로 썬팅과 다양한 서비스 제공 받았습니다,2021.08.12.,"약 2개월만에 올댓에 테슬라 모델Y가 들어왔습니다~ 테슬라 차량들은 아무래도 국산차가 아니다 보니까 특정 인도 기간이 아닌 이상읕 일반적으로는 만나기 조금 힘든 편인데요, 2개월만에 봐서 그런가 또..."
11,삼성전자 테슬라와 협력한다. 반도체 'D1' 위탁생산 확실시,7일 전,AI 데이서 공개…7나노 공정자율주행 시스템 HW3 협력 경험 ▲ 테슬라 D1 칩 스펙. (사진=테슬라) 파운드리 시장 최고 TSMC 제치고 협업할듯삼성전자가 테슬라의 반도체 '도조'의 위탁 생산 파트너사로 유력하게...
12,"테슬라, 더 긴 주행거리 모델Y 준비중?",2021.08.22.,"테슬라, 더 긴 주행거리 모델Y 준비중? 테슬라가 1회 충전 당 주행거리가 크게 늘어난 모델Y를 준비 중인 것으로 알려졌다. 22일 자동차 전문 매체 더드리븐(The Driven)에 따르면 테슬라는 최근..."
13,테슬라 모델S 어빌리티 전용스피커로 음질 튜닝 고고!,2021.08.11.,테슬라 모델S 전용스피커 튜닝 후 달라진 음질 경험하기 테슬라 모델S 전용스피커 교체 전문업체 카오디오뱅크 인사드립니다! 오늘 방문해주신 고객님은 테슬라 모델s의 떨어지는 음질을 개선시키기위해 스피커 교환을...
14,"하이투자증권 미국주식 거래 이벤트, 1등 테슬라 모델Y",2021.08.17.,"바로 위에 이미지에도 있지만, 미국주식 가운데 테슬라 주식에 대한 사랑은 여전하다고 합니다. 비단 테슬라 주식뿐만 아니라 실제 테슬라 차량에 대한 갈망은 누구나 가지고 있으리라 생각합니다. 하이투자증권에서는..."
15,테슬라 모델3 썬팅 후회 없이 솔라가드 퀀텀,2021.08.23.,테슬라 모델3 썬팅 후회 없이 솔라가드 퀀텀 안녕하세요! 솔라가드 프리미엄 분당점 인사드립니다. 전 세계 베스트셀링 전기차 테슬라 모델3는 슈퍼카다운 가속력을 즐길 수 있는 최고의 전기차로 꾸준히 업그레이드되어...
